"V1","V2","V3","V4","V5","V6"
"0560023","5","22:06:17","5","22:13:12","bike"
"0560024","6","12:28:47","6","12:36:55","bike"
"0560025","4","23:07:36","4","23:12:05","bike"
"0560026","5","20:59:40","5","23:04:05","bike"
"0560027","6","13:03:13","6","13:50:39","bike"
"0560028","4","09:05:36","4","09:12:14","bike"
"0560029","4","22:56:23","4","23:01:13","walk"
"0560030","4","23:01:50","4","23:12:09","bike"
"0560031","5","09:55:18","5","10:01:24","bike"
"0560032","5","23:04:36","5","23:08:57","walk"
"0560033","5","23:09:49","5","23:20:51","bike"
"0580001","3","21:48:28","3","22:00:03","taxi"
"0580002","7","09:27:42","7","10:33:15","car"
"0580003","7","10:47:05","7","11:24:42","car"
"0580004","1","06:26:53","1","07:03:05","car"
"0580005","2","07:46:24","2","07:56:51","walk"
"0580006","2","20:41:41","2","21:01:51","taxi"
"0580007","3","08:31:27","3","08:33:05","walk"
"0580008","6","15:58:18","6","16:01:36","walk"
"0580009","6","16:02:10","6","16:49:54","bus"
"0580010","6","16:50:58","6","17:00:49","taxi"
"0580011","6","19:13:22","6","19:31:29","car"
"0580012","1","20:30:26","1","20:36:04","taxi"
"0580013","1","20:36:12","1","22:09:35","walk"
"0580014","1","21:44:29","1","21:45:36","walk"
"0580015","1","21:46:14","1","22:05:20","taxi"
"0580016","3","20:03:17","3","20:25:00","bus"
"0580017","3","20:26:37","3","20:35:41","walk"
"0580018","4","07:49:11","4","07:59:34","walk"
"0580019","4","08:00:27","4","08:09:15","bus"
"0580020","4","08:18:09","4","08:28:17","bus"
"0580021","4","08:29:15","4","08:36:58","taxi"
"0580022","6","09:16:18","6","09:27:18","taxi"
"0580023","6","09:44:23","6","10:08:46","car"
"0580024","6","10:24:32","6","11:13:08","car"
"0580025","6","12:52:44","6","13:46:49","car"
"0580026","6","14:39:05","6","15:08:49","car"
"0580027","6","15:22:58","6","15:50:32","car"
"0580028","5","07:41:46","5","07:50:58","walk"
"0580029","5","07:59:16","5","08:30:11","bus"
"0580030","5","08:30:11","5","08:32:58","walk"
"0580031","7","16:50:25","7","16:59:16","walk"
"0580032","7","19:35:08","7","19:49:24","walk"
"0580033","7","19:53:59","7","20:10:18","taxi"
"0590001","3","17:04:33","3","20:56:58","walk"
"0600001","6","11:26:05","6","11:47:31","walk"
"0600002","1","08:32:29","1","08:59:13","walk"
"0620001","3","16:22:10","3","16:28:13","bus"
"0620002","3","16:53:17","3","17:14:34","bus"
"0620003","4","18:57:02","4","19:01:05","walk"
"0620004","5","06:47:07","5","08:10:51","walk"
"0620005","5","09:45:28","5","10:12:05","bus"
"0620006","5","11:21:40","5","12:33:46","bus"
"0620007","5","12:40:31","5","12:53:11","walk"
"0620008","6","11:23:39","6","11:35:15","bus"
"0620009","6","11:47:53","6","12:43:20","bus"
"0620010","6","19:54:38","6","19:57:51","bus"
"0620011","1","08:15:23","1","08:31:15","bus"
"0620012","2","11:48:06","2","12:02:55","walk"
"0620013","2","12:50:08","2","19:44:19","bus"
"0620014","2","22:10:12","2","22:18:23","car"
"0620015","3","09:54:13","3","10:40:36","bus"
"0620016","3","17:05:24","3","17:42:11","car"
"0620017","6","11:17:34","6","11:22:07","bus"
"0620018","6","12:37:17","6","12:46:42","bus"
"0620019","6","19:48:07","6","19:57:16","bus"
"0620020","7","09:01:42","7","09:11:34","taxi"
"0620021","2","17:09:55","2","17:17:24","taxi"
"0620022","2","21:02:04","2","21:09:35","taxi"
"0620023","4","16:56:01","4","17:15:42","taxi"
"0620024","4","19:27:22","4","19:38:50","taxi"
"0620025","7","17:53:19","7","18:29:45","walk"
"0620026","1","08:17:46","1","08:21:56","bus"
"0620027","1","09:38:42","1","09:49:25","bus"
"0620028","2","17:25:28","2","17:34:18","bus"
"0620029","3","20:31:36","3","20:38:11","taxi"
"0620030","4","17:10:47","4","17:32:37","bus"
"0620031","4","20:39:37","4","20:50:35","taxi"
"0620032","5","15:17:01","5","15:27:48","bus"
"0620033","7","12:45:27","7","13:02:54","bus"
"0620034","7","13:47:57","7","14:20:19","bus"
"0620035","1","16:08:06","1","16:17:15","taxi"
"0620036","1","20:12:46","1","20:20:10","bus"
"0620037","1","20:24:23","1","20:30:43","bus"
"0620038","1","20:48:28","1","20:50:07","taxi"
"0620039","2","08:10:16","2","08:18:13","car"
"0620040","2","09:43:02","2","09:52:44","car"
"0620041","3","08:12:41","3","08:24:43","car"
"0620042","3","09:38:35","3","09:48:22","car"
"0620043","3","17:05:37","3","17:20:59","bus"
"0620044","4","16:55:06","4","17:07:47","bus"
"0620045","6","11:09:38","6","11:17:42","taxi"
"0620046","6","19:22:39","6","19:40:16","taxi"
"0620047","7","11:56:59","7","12:01:33","walk"
"0620048","7","12:01:33","7","14:39:46","taxi"
"0620049","7","17:21:45","7","17:32:44","bus"
"0620050","7","17:35:32","7","17:48:58","bus"
"0620051","7","18:40:13","7","19:09:05","bus"
"0620052","1","16:55:20","1","17:28:37","car"
"0620053","1","19:04:56","1","19:09:20","taxi"
"0620054","2","14:18:40","2","15:02:21","car"
"0620055","2","17:32:39","2","17:45:30","bus"
"0620056","2","18:47:13","2","18:56:45","bus"
"0620057","3","14:45:32","3","14:51:58","bus"
"0620058","3","15:37:58","3","15:43:30","bus"
"0620059","3","19:54:45","3","20:02:00","bus"
"0620060","4","09:17:48","4","09:32:29","bus"
"0620061","4","09:47:47","4","11:21:03","bus"
"0620062","6","16:29:37","6","16:55:34","bus"
"0620063","6","17:58:17","6","20:10:14","bus"
"0620064","7","08:11:11","7","08:43:12","bus"
"0620065","1","06:00:12","1","06:26:34","bus"
"0620066","1","14:21:01","1","17:29:48","bus"
"0620067","1","18:14:47","1","19:13:27","bus"
"0620068","2","13:26:19","2","14:12:53","bus"
"0620069","2","14:25:18","2","17:16:13","bus"
"0620070","2","20:08:07","2","22:09:11","bus"
"0620071","3","08:24:39","3","16:29:35","bus"
"0620072","3","20:04:27","3","21:35:18","bus"
"0620073","4","14:00:55","4","14:22:24","bus"
"0620074","4","15:01:29","4","16:58:17","bus"
"0620075","4","19:20:39","4","21:29:42","bus"
"0620076","5","06:07:45","5","06:45:59","bus"
"0620077","5","14:31:54","5","15:23:20","bus"
"0620078","5","16:44:34","5","18:09:04","bus"
"0620079","5","18:09:09","5","19:01:13","bus"
"0620080","6","15:21:00","6","16:00:38","walk"
"0620081","6","17:54:41","6","19:54:46","bus"
"0620082","7","13:12:44","7","17:55:01","bus"
"0620083","1","13:54:58","1","14:48:44","bus"
"0620084","1","15:36:33","1","16:45:32","bus"
"0620085","1","17:26:35","1","18:35:12","bus"
"0620086","2","05:52:39","2","06:37:33","bus"
"0620087","2","10:49:12","2","18:42:14","bus"
"0620088","3","17:36:09","3","17:50:22","bus"
"0620089","3","18:25:52","3","19:00:33","bus"
"0620090","4","12:57:04","4","15:46:59","bus"
"0620091","4","18:07:24","4","21:43:50","bus"
"0620092","6","05:13:09","6","07:15:57","bus"
"0620093","6","07:19:00","6","07:21:21","walk"
"0620094","6","14:32:35","6","15:14:57","bus"
"0620095","7","10:02:21","7","10:13:27","bus"
"0620096","7","10:13:32","7","16:51:50","bus"
"0620097","1","12:41:40","1","16:12:07","bus"
"0620098","1","19:28:50","1","21:55:02","bus"
"0620099","2","11:01:34","2","11:37:49","bus"
"0620100","2","15:58:45","2","18:29:21","bus"
"0620101","2","19:09:10","2","21:42:37","bus"
"0620102","3","06:06:41","3","06:36:45","bus"
"0620103","3","14:45:46","3","17:31:39","bus"
"0620104","4","05:33:34","4","06:15:03","bus"
"0620105","4","18:18:29","4","19:08:43","bus"
"0620106","5","04:14:24","5","04:36:38","bus"
"0620107","5","14:58:32","5","15:25:42","bus"
"0620108","5","17:10:56","5","18:47:41","bus"
"0620109","6","04:17:42","6","04:33:15","bus"
"0620110","6","14:52:17","6","15:24:58","bus"
"0620111","6","16:56:53","6","18:19:17","bus"
"0620112","7","03:52:18","7","04:27:32","bus"
"0620113","7","04:44:54","7","04:50:12","bus"
"0620114","7","13:22:25","7","13:54:43","bus"
"0620115","7","15:28:37","7","16:03:55","bus"
"0620116","1","03:59:18","1","04:32:50","bus"
"0620117","1","14:30:49","1","15:15:40","bus"
"0620118","1","18:36:40","1","20:49:47","bus"
"0620119","2","04:12:49","2","04:44:23","bus"
"0620120","2","14:23:25","2","14:51:57","bus"
"0620121","2","16:17:55","2","19:35:15","bus"
"0620122","3","09:31:30","3","15:52:12","bus"
"0620123","3","18:09:00","3","18:44:11","bus"
"0620124","3","18:47:19","3","20:30:54","bus"
"0620125","4","04:35:46","4","05:11:35","bus"
"0620126","4","14:38:12","4","15:30:53","bus"
"0620127","4","18:07:11","4","18:52:08","bus"
"0620128","4","19:21:41","4","21:02:50","bus"
"0620129","4","21:10:14","4","21:13:52","walk"
"0620130","4","22:41:30","4","22:45:23","walk"
"0620131","5","03:43:27","5","04:06:22","bus"
"0620132","5","04:08:56","5","04:23:27","walk"
"0620133","5","15:30:47","5","19:57:10","bus"
"0620134","6","06:34:29","6","06:55:54","bus"
"0620135","6","07:02:15","6","07:11:46","walk"
"0620136","6","14:33:47","6","16:19:17","bus"
"0620137","6","16:47:57","6","17:30:10","bus"
"0620138","6","17:52:59","6","18:03:41","walk"
"0620139","7","04:17:09","7","04:55:02","bus"
"0620140","7","05:02:19","7","05:10:10","bus"
"0620141","7","12:29:20","7","13:29:18","bus"
"0620142","7","17:22:22","7","18:01:45","walk"
"0620143","1","11:47:41","1","12:05:12","walk"
"0620144","1","15:27:51","1","17:09:22","bus"
"0620145","2","11:43:18","2","12:36:31","bus"
"0620146","2","14:39:54","2","16:19:42","bus"
"0620147","2","18:53:18","2","19:27:30","bus"
"0620148","3","12:07:06","3","16:40:05","bus"
"0620149","3","16:40:12","3","17:19:09","bus"
"0620150","3","18:17:45","3","18:48:37","bus"
"0620151","3","18:49:14","3","18:58:13","bus"
"0620152","4","08:17:02","4","08:20:06","bus"
"0620153","4","08:20:28","4","08:53:57","bus"
"0620154","4","08:54:25","4","09:07:03","bus"
"0620155","4","11:29:50","4","11:33:48","walk"
"0620156","4","12:28:59","4","12:41:03","bus"
"0620157","4","13:16:34","4","14:12:28","bus"
"0620158","4","14:25:39","4","14:36:42","walk"
"0620159","5","17:16:34","5","17:16:58","bus"
"0620160","5","18:21:51","5","20:20:41","bus"
"0620161","5","20:20:51","5","20:49:14","bus"
"0620162","5","20:49:54","5","21:02:10","walk"
"0620163","5","22:08:12","5","22:48:33","bus"
"0620164","6","00:27:25","6","00:38:00","bus"
"0620165","6","02:27:31","6","02:38:12","bus"
"0620166","6","11:27:46","6","11:30:38","walk"
"0620167","6","13:38:45","6","14:00:57","bus"
"0620168","6","14:38:04","6","15:07:30","bus"
"0620169","6","15:35:27","6","16:10:59","bus"
"0620170","6","19:16:02","6","19:27:25","bus"
"0620171","6","19:53:53","6","20:26:09","bus"
"0620172","7","05:16:04","7","05:17:23","bus"
"0620173","7","06:16:10","7","10:19:05","train"
"0620174","7","10:19:05","7","10:48:51","bus"
"0620175","7","13:13:07","7","13:20:36","walk"
"0620176","7","19:15:37","7","19:37:12","walk"
"0620177","1","06:32:36","1","06:33:29","walk"
"0620178","1","06:50:49","1","07:49:15","bus"
"0620179","1","07:49:15","1","08:11:53","boat"
"0620180","1","08:38:28","1","10:08:57","bus"
"0620181","1","11:20:32","1","12:15:44","bus"
"0620182","1","12:34:42","1","14:39:46","bus"
"0620183","1","15:04:54","1","17:06:58","bus"
"0620184","1","18:14:52","1","18:25:29","walk"
"0620185","2","03:48:18","2","06:51:03","walk"
"0620186","2","10:06:46","2","10:17:06","bus"
"0620187","2","11:11:21","2","11:11:40","run"
"0620188","2","12:23:22","2","12:40:39","bus"
"0620189","2","13:30:54","2","16:55:16","train"
"0620190","2","17:44:30","2","18:30:36","bus"
"0620191","2","18:43:01","2","19:52:05","bus"
"0620192","3","10:46:44","3","10:49:47","walk"
"0620193","4","09:42:52","4","16:29:06","bus"
"0620194","4","19:53:41","4","20:23:14","walk"
"0620195","5","08:46:07","5","10:26:50","bus"
"0620196","5","10:51:38","5","13:04:54","bus"
"0620197","5","14:40:01","5","15:48:17","bus"
"0620198","5","16:04:46","5","16:14:00","walk"
"0620199","5","17:11:01","5","17:55:52","bus"
"0620200","5","18:15:16","5","18:44:05","bus"
"0620201","5","19:01:32","5","19:18:14","walk"
"0620202","6","11:11:07","6","11:38:50","bus"
"0620203","6","13:09:24","6","13:16:44","walk"
"0620204","6","14:48:56","6","15:30:55","bus"
"0620205","7","09:26:04","7","09:54:49","bus"
"0620206","7","10:47:10","7","14:43:37","bus"
"0620207","7","15:27:04","7","15:49:11","bus"
"0620208","7","18:17:12","7","20:00:39","bus"
"0620209","1","04:14:32","1","05:05:24","bus"
"0620210","1","05:19:41","1","05:32:24","bike"
"0620211","1","12:27:15","1","14:05:25","bus"
"0620212","1","14:51:10","1","16:16:48","bus"
"0620213","1","16:31:56","1","17:54:29","bus"
"0620214","2","14:02:40","2","14:03:00","walk"
"0620215","3","10:58:09","3","12:25:02","bus"
"0620216","3","13:29:34","3","13:36:54","walk"
"0620217","3","14:05:04","3","14:06:09","walk"
"0620218","3","14:48:20","3","16:30:42","bus"
"0620219","3","19:22:18","3","19:24:19","bike"
"0620220","4","12:03:37","4","13:10:01","bus"
"0620221","4","15:22:40","4","15:40:42","bus"
"0620222","4","17:18:44","4","18:19:36","bus"
"0620223","4","20:14:26","4","20:20:01","bike"
"0620224","4","20:34:39","4","20:40:24","walk"
"0620225","5","10:15:43","5","10:16:28","walk"
"0620226","5","10:54:34","5","12:29:29","bus"
"0620227","5","12:29:43","5","14:56:14","bus"
"0620228","5","15:09:37","5","15:59:03","bus"
"0620229","5","16:11:05","5","16:51:58","bus"
"0620230","5","17:36:43","5","17:55:45","walk"
"0620231","6","08:52:11","6","10:30:11","bus"
"0620232","6","12:39:41","6","15:05:42","bus"
"0620233","6","16:24:18","6","16:24:36","bike"
"0620234","7","07:56:18","7","09:34:03","bus"
"0620235","7","09:50:46","7","09:52:52","bike"
"0620236","7","09:54:04","7","10:12:54","bus"
"0620237","7","18:57:07","7","20:12:59","bus"
"0620238","7","21:14:06","7","21:19:00","bike"
"0620239","1","04:13:37","1","04:57:20","bus"
"0620240","1","05:02:09","1","05:07:20","walk"
"0620241","1","14:46:06","1","15:03:43","bus"
"0620242","1","16:34:53","1","17:47:58","bus"
"0620243","1","20:26:55","1","20:55:40","bus"
"0620244","2","04:28:31","2","04:55:30","bus"
"0620245","2","04:57:21","2","04:59:01","walk"
"0620246","2","13:19:00","2","14:12:16","bus"
"0620247","2","14:42:41","2","15:13:58","bus"
"0620248","3","07:17:11","3","07:45:27","walk"
"0620249","3","09:41:54","3","11:26:32","bike"
"0620250","3","12:11:38","3","12:39:29","bike"
"0620251","3","13:25:07","3","15:42:43","bus"
"0620252","3","16:13:45","3","17:21:22","bus"
"0620253","3","18:11:13","3","19:22:48","bus"
"0620254","4","07:54:37","4","07:59:42","bike"
"0620255","4","10:07:04","4","10:24:20","bike"
"0620256","4","12:41:04","4","12:43:55","bike"
"0620257","4","12:44:40","4","13:36:19","bus"
"0620258","4","13:40:49","4","14:37:46","bus"
"0620259","4","14:53:54","4","16:35:26","bus"
"0620260","4","16:53:51","4","18:23:47","walk"
"0620261","5","07:39:01","5","09:31:03","bus"
"0620262","5","14:18:37","5","15:24:35","bus"
"0620263","6","10:16:33","6","10:17:06","walk"
"0620264","6","10:41:24","6","10:46:28","bike"
"0620265","6","14:15:29","6","17:00:25","bus"
"0620266","6","14:22:47","6","14:36:40","bus"
"0620267","7","07:43:32","7","10:15:30","bike"
"0620268","7","12:16:46","7","12:41:02","bus"
"0620269","7","13:38:40","7","14:49:21","bus"
"0620270","7","16:03:21","7","16:37:28","bus"
"0620271","7","18:33:14","7","18:56:05","bus"
"0620272","2","08:01:35","2","08:12:59","walk"
"0620273","2","10:11:20","2","10:24:30","bus"
"0620274","2","10:24:30","2","10:32:02","walk"
"0620275","2","10:42:02","2","11:42:41","walk"
"0620276","2","13:26:02","2","14:33:10","walk"
"0620277","2","16:43:17","2","17:20:42","bike"
"0620278","2","18:16:39","2","18:48:48","walk"
"0620279","2","20:03:17","2","20:11:02","walk"
"0620280","3","08:13:14","3","08:14:40","walk"
"0620281","3","10:19:59","3","10:30:24","bike"
"0620282","3","12:53:10","3","12:56:48","walk"
"0620283","3","14:33:37","3","14:41:09","walk"
"0620284","4","08:06:09","4","08:50:10","bike"
"0620285","4","10:51:10","4","11:16:59","walk"
"0620286","4","12:24:15","4","12:39:22","walk"
"0620287","4","14:36:21","4","15:15:25","bus"
"0620288","4","16:05:37","4","18:38:51","bus"
"0620289","4","21:12:48","4","21:32:51","bus"
"0620290","5","09:47:01","5","10:00:39","walk"
"0620291","5","10:34:26","5","10:49:47","walk"
"0620292","5","11:12:38","5","11:38:15","bike"
"0620293","5","12:32:59","5","12:54:52","bike"
"0620294","5","14:16:31","5","15:28:55","bus"
"0620295","6","05:04:09","6","18:36:39","train"
"0620296","7","08:53:18","7","09:29:47","bus"
"0620297","7","09:29:54","7","09:58:16","bus"
"0620298","7","09:58:27","7","12:04:59","walk"
"0620299","7","12:05:19","7","12:13:54","bus"
"0620300","7","12:14:02","7","12:26:57","walk"
"0620301","7","14:59:59","7","15:02:43","walk"
"0620302","7","15:40:59","7","17:12:28","walk"
"0620303","2","16:14:12","2","16:21:02","bike"
"0620304","3","09:37:36","3","10:45:55","bus"
"0620305","3","10:46:03","3","11:25:26","walk"
"0620306","3","11:53:11","3","12:24:28","bike"
"0620307","3","14:18:18","3","14:56:28","bus"
"0620308","3","15:48:23","3","15:51:01","walk"
"0620309","4","10:40:50","4","10:48:39","bike"
"0620310","4","10:48:47","4","11:57:58","bike"
"0620311","4","14:01:03","4","17:44:32","bike"
"0620312","5","09:24:16","5","09:52:07","bus"
"0620313","5","09:52:59","5","10:05:13","walk"
"0620314","6","02:11:09","6","11:57:11","train"
"0620315","6","12:17:02","6","13:50:59","bus"
"0620316","6","13:51:30","6","14:01:06","walk"
"0620317","6","17:05:39","6","17:55:34","bus"
"0620318","6","17:57:27","6","18:43:54","bus"
"0620319","6","18:44:03","6","18:58:00","walk"
"0620320","7","16:48:37","7","16:53:47","walk"
"0620321","7","16:54:09","7","17:33:20","bus"
"0620322","7","17:33:28","7","17:47:00","walk"
"0620323","7","17:49:23","7","18:16:18","bus"
"0620324","7","18:16:25","7","18:23:43","walk"
"0620325","7","18:28:02","7","18:38:27","walk"
"0620326","1","00:37:33","1","13:27:37","bus"
"0620327","1","10:04:56","1","10:05:50","bike"
"0620328","1","10:30:18","1","11:29:47","bike"
"0620329","1","11:56:20","1","11:58:41","walk"
"0620330","1","12:36:12","1","12:37:33","walk"
"0620331","1","13:27:44","1","13:56:37","walk"
"0620332","1","13:57:04","1","14:52:36","bus"
"0620333","1","14:52:45","1","14:59:48","walk"
"0620334","2","11:28:55","2","12:39:51","walk"
"0620335","2","18:19:34","2","18:24:45","walk"
"0620336","2","21:31:15","2","21:36:00","walk"
"0620337","3","12:49:35","3","13:02:36","walk"
"0620338","3","17:05:31","3","17:24:28","bus"
"0620339","3","19:28:36","3","19:40:19","walk"
"0620340","3","19:40:19","3","19:56:16","bus"
"0620341","6","10:36:16","6","10:41:43","walk"
"0620342","1","06:20:02","1","06:21:29","walk"
"0620343","1","06:21:44","1","06:29:00","bus"
"0620344","1","06:29:08","1","06:47:52","bus"
"0620345","1","06:48:04","1","06:53:17","walk"
"0620346","1","07:28:31","1","07:37:27","walk"
"0620347","1","07:37:27","1","07:56:32","bus"
"0620348","1","07:56:59","1","07:59:21","walk"
"0620349","1","07:59:42","1","08:38:00","bus"
"0620350","1","08:38:10","1","08:44:02","walk"
"0620351","1","13:10:31","1","13:28:31","bus"
"0620352","1","13:28:40","1","13:30:48","walk"
"0620353","1","15:41:16","1","15:52:16","walk"
"0620354","1","15:52:27","1","16:11:31","bus"
"0620355","1","16:11:39","1","16:36:59","walk"
"0620356","1","18:34:47","1","18:40:58","bike"
"0620357","1","19:25:33","1","19:28:59","bike"
"0620358","2","05:42:32","2","05:45:06","walk"
"0620359","2","05:47:14","2","06:37:05","bus"
"0620360","2","06:37:13","2","06:47:18","walk"
"0620361","2","08:19:29","2","08:26:48","walk"
"0620362","2","08:27:00","2","09:00:24","bus"
"0620363","2","09:00:31","2","09:07:08","walk"
"0620364","2","09:51:55","2","10:04:10","walk"
"0620365","2","10:04:18","2","10:09:02","bus"
"0620366","2","10:09:11","2","10:15:31","walk"
"0620367","2","10:38:50","2","10:44:24","walk"
"0620368","2","11:35:24","2","11:47:19","walk"
"0620369","2","12:34:16","2","12:38:01","walk"
"0620370","2","14:14:08","2","14:26:04","walk"
"0620371","2","14:26:30","2","14:55:46","bus"
"0620372","2","14:55:58","2","16:49:24","walk"
"0620373","2","16:53:22","2","17:52:28","bus"
"0620374","2","17:53:18","2","18:00:24","walk"
"0620375","2","18:00:24","2","18:27:57","bus"
"0620376","3","06:36:55","3","06:48:42","walk"
"0620377","3","06:49:25","3","08:13:40","bus"
"0620378","3","08:13:49","3","08:23:49","walk"
"0620379","3","11:07:01","3","11:14:07","walk"
"0620380","3","15:44:40","3","15:50:07","walk"
"0620381","3","15:50:14","3","17:29:33","bus"
"0620382","3","17:29:41","3","17:35:04","walk"
"0620383","4","07:27:16","4","08:23:34","bus"
"0620384","4","08:24:15","4","08:30:56","walk"
"0620385","4","10:25:28","4","10:31:11","walk"
"0620386","4","10:55:20","4","11:22:57","walk"
"0620387","4","13:00:22","4","13:06:13","walk"
"0620388","4","13:06:24","4","14:31:12","bus"
"0620389","4","14:31:20","4","14:51:43","walk"
"0620390","4","14:53:07","4","14:55:15","bus"
"0620391","4","14:56:40","4","15:21:01","walk"
"0620392","4","15:21:09","4","15:58:44","bus"
"0620393","4","15:58:51","4","16:00:46","walk"
"0620394","4","16:38:45","4","16:45:06","walk"
"0620395","4","16:48:07","4","17:00:36","bus"
"0620396","4","17:00:44","4","17:20:37","walk"
"0620397","4","18:31:29","4","18:39:09","bike"
"0620398","4","19:17:30","4","19:25:34","bike"
"0620399","5","06:43:27","5","06:50:11","walk"
"0620400","5","06:50:11","5","08:02:57","bus"
"0620401","5","08:03:28","5","08:09:46","walk"
"0620402","5","15:56:10","5","15:59:08","walk"
"0620403","5","15:59:19","5","17:33:56","bus"
"0620404","5","17:34:05","5","17:54:34","walk"
"0620405","6","07:02:37","6","07:33:25","bus"
"0620406","6","07:33:32","6","07:43:25","walk"
"0620407","6","07:43:25","6","08:04:24","bus"
"0620408","6","08:06:56","6","08:11:26","walk"
"0620409","6","11:07:33","6","11:13:00","walk"
"0620410","6","11:13:00","6","12:03:40","bus"
"0620411","6","12:03:52","6","12:05:57","walk"
"0620412","6","12:06:09","6","12:24:24","bus"
"0620413","6","12:24:34","6","12:35:15","walk"
"0620414","6","13:18:10","6","13:36:34","walk"
"0620415","6","13:36:43","6","13:58:44","bus"
"0620416","6","13:58:55","6","14:01:48","walk"
"0620417","6","15:16:24","6","15:25:43","walk"
"0620418","6","16:33:10","6","20:25:49","walk"
"0620419","7","00:30:41","7","08:28:12","walk"
"0620420","7","09:14:04","7","10:01:53","walk"
"0620421","7","10:02:05","7","10:08:54","bus"
"0620422","7","10:09:01","7","10:21:04","walk"
"0620423","7","13:38:39","7","14:04:16","walk"
"0620424","7","14:55:08","7","16:35:43","walk"
"0620425","1","06:47:50","1","07:23:19","bus"
"0620426","1","07:23:30","1","07:30:10","walk"
"0620427","1","07:30:23","1","07:51:59","bus"
"0620428","1","07:52:20","1","07:58:53","walk"
"0620429","1","15:50:41","1","15:56:05","walk"
"0620430","1","15:56:14","1","16:18:13","bus"
"0620431","1","16:18:21","1","16:20:00","walk"
"0620432","1","16:20:00","1","16:55:36","bus"
"0620433","1","16:55:45","1","17:36:19","walk"
"0620434","1","18:29:13","1","18:48:04","walk"
"0620435","1","19:54:37","1","20:00:03","walk"
"0620436","2","06:36:39","2","07:09:58","bus"
"0620437","2","07:10:17","2","07:12:21","walk"
"0620438","2","07:12:21","2","07:19:53","bus"
"0620439","2","07:20:03","2","08:03:05","walk"
"0620440","2","14:44:43","2","14:48:57","walk"
"0620441","2","14:49:06","2","15:51:46","bus"
"0620442","2","15:51:54","2","16:04:23","walk"
"0620443","2","16:04:35","2","16:26:05","bus"
"0620444","2","16:26:13","2","16:47:37","walk"
"0620445","2","19:32:51","2","19:43:23","bike"
"0620446","3","11:02:31","3","11:44:52","bike"
"0620447","3","11:59:20","3","12:02:26","walk"
"0620448","3","16:42:07","3","16:42:28","walk"
"0620449","4","10:17:34","4","11:11:01","walk"
"0620450","4","11:29:47","4","12:04:51","walk"
"0620451","4","12:07:52","4","12:12:12","walk"
"0620452","4","15:03:08","4","15:19:45","walk"
"0620453","4","16:34:51","4","16:41:46","bike"
"0620454","4","17:14:01","4","17:27:02","bike"
"0620455","4","18:07:11","4","18:21:35","walk"
"0620456","4","19:28:06","4","19:34:18","bike"
"0620457","4","23:46:09","4","23:55:47","bike"
"0620458","5","06:28:26","5","18:53:56","car"
"0620459","5","08:12:07","5","09:05:00","bus"
"0620460","5","09:05:08","5","09:07:45","walk"
"0620461","5","09:08:41","5","09:28:07","bus"
"0620462","5","09:28:19","5","09:34:20","walk"
"0620463","5","15:39:08","5","15:42:53","walk"
"0620464","5","15:43:18","5","16:54:40","bus"
"0620465","5","16:55:14","5","17:03:56","walk"
"0620466","5","18:27:47","5","18:28:26","walk"
"0620467","5","18:54:04","5","18:56:21","walk"
"0620468","5","19:59:56","5","20:16:37","car"
"0620469","6","11:01:34","6","11:34:35","walk"
"0620470","6","12:42:12","6","14:08:34","walk"
"0620471","6","14:12:08","6","14:20:27","walk"
"0620472","6","14:20:43","6","15:23:30","bus"
"0620473","6","15:23:41","6","15:33:20","bus"
"0620474","6","15:33:30","6","15:37:12","walk"
"0620475","7","13:32:21","7","14:41:53","bus"
"0620476","7","14:42:01","7","14:45:46","walk"
"0620477","7","14:45:56","7","15:28:10","bus"
"0620478","7","15:28:21","7","15:36:46","walk"
"0620479","7","16:15:24","7","16:24:52","walk"
"0620480","7","16:38:39","7","17:28:20","walk"
"0620481","1","08:51:10","1","08:55:50","walk"
"0620482","1","09:56:01","1","10:37:14","walk"
"0620483","1","10:53:53","1","11:38:04","bike"
"0620484","1","19:50:39","1","19:57:50","bike"
"0620485","1","20:54:37","1","21:03:52","bike"
"0620486","2","09:34:41","2","09:56:46","walk"
"0620487","2","12:11:14","2","12:35:08","walk"
"0620488","2","14:36:03","2","15:47:35","walk"
"0620489","2","21:03:33","2","21:10:20","walk"
"0620490","3","08:39:09","3","08:46:08","walk"
"0620491","3","08:46:17","3","09:28:34","bus"
"0620492","3","09:28:42","3","09:33:31","walk"
"0620493","3","10:36:03","3","10:39:33","walk"
"0620494","3","10:39:44","3","11:21:51","bus"
"0620495","3","11:21:59","3","11:54:54","walk"
"0620496","3","12:40:46","3","13:12:12","car"
"0620497","3","13:12:19","3","13:26:21","walk"
"0620498","3","13:30:31","3","14:02:21","car"
"0620499","3","14:02:30","3","14:12:30","walk"
"0620500","3","16:34:04","3","16:38:22","walk"
"0620501","3","16:38:30","3","16:52:13","bus"
"0620502","3","16:52:21","3","17:20:32","walk"
"0620503","3","18:23:45","3","18:44:28","walk"
"0620504","3","18:44:52","3","19:11:01","bus"
"0620505","3","19:11:08","3","19:20:00","walk"
"0620506","3","19:23:26","3","19:38:49","walk"
"0620507","3","20:26:23","3","20:31:08","walk"
"0620508","4","08:41:09","4","08:46:01","bike"
"0620509","4","09:11:27","4","09:17:01","bike"
"0620510","4","09:17:08","4","10:00:04","bus"
"0620511","4","10:00:14","4","10:41:51","walk"
"0620512","4","10:42:01","4","11:18:14","bus"
